Index,area_abb,Area_old,Region,
1,V1,V1,Visual,
2,V1,V1,Visual,
3,V6,V6(V2?),Visual,
4,V6,V6(V2?),Visual,
5,V1,V1,Visual,
6,V1,V1,Visual,
7,V2,V3(V2?),Visual,
8,V2,A19DI(V2?),Visual,
9,V1,V1,Visual,
10,V1,V1,Visual,
11,V2,V2,Visual,
12,V2,V2,Visual,
13,V3A,V3A,Visual,
14,V3A,V3A,Visual,
15,V4,V4,Visual,
16,V4,V4,Visual,
17,V4,V4,Visual,
18,V4,V4,Visual,
19,V1,V1,Visual,
20,V1,V1,Visual,
21,V1,V2(V1?),Visual,
22,V1,V2(V1?),Visual,
23,V4,V4,Visual,
24,V4,V4,Visual,
25,Unknown,Unknown,Unknown,
26,Unknown,Unknown,Unknown,
27,TE3,TE3,liTemporal,
28,TE3,TE3,liTemporal,
29,PFG,PG(PFG),Posterior Parietal,
30,PFG,PG(PFG),Posterior Parietal,
31,V4,V4(FST?),Visual,
32,V5,V5(FST?),Visual,
33,PE,PE,Posterior Parietal,
34,PE,PE,Posterior Parietal,
35,Unknown,Unknown,Unknown,
36,Unknown,Unknown,Unknown,
37,TE3,TE3,liTemporal,
38,TE3,TE3,liTemporal,
39,S2E,PF(S2E?),Posterior Parietal,(Somatosensory?)
40,A1/2,A1/2(PF?),Somatosensory,
41,AuML,AuML,Auditory,
42,AuA1,AuA1,Auditory,
43,A4ab,A4ab,Motor/Premotor,
44,A4ab,A4ab(A3a/b),Motor/Premotor,
45,Unknown,Unknown,Unknown,
46,Unknown,Unknown,Unknown,
47,Unknown,Unknown,Unknown,
48,Unknown,Unknown,Unknown,
49,A1/2,A3b(A1/2),Somatosensory,
50,A4c,A4c/A8c,Motor/Premotor,
51,AuRT,AuRT,Auditory,
52,AuA1,AuA1(AuR?),Auditory,
53,A6M,A6M,Motor/Premotor,
54,A6M,A6M,Motor/Premotor,
55,DI,DI(GI),Motor/Premotor,"(Somatosensory, Auditory?)"
56,GI,GI,Motor/Premotor,"(Somatosensory, Auditory?)"
57,A45,A45,dLPFC,
58,A8aV,A8aV(A45?),dLPFC,
59,A8b,A8aD,vLPFC,
60,A8b,A8b(A8aD),dLPFC,
61,A47L,A47L,dLPFC,
62,A47L,A47L,dLPFC,
63,A10,A10,dLPFC,
64,A46D,A46D,dLPFC,
