Area,dist_control,dist_no_gradient
V1,0.0926357538008169,0.18987923563242204
V2,0.08330273827651624,0.17811253658932924
A19DI,0.19718726130804654,0.2175099688292793
V4T,0.18785033660711836,0.16156677671202313
AuA1,0.07640680968105573,0.039113715983472575
V6,0.08230984627207916,0.0883667422023795
V5,0.2411499875430566,0.172620583258268
AuCM,0.20702306663835224,0.04669082543795777
V3A,0.1882514833303912,0.14629071034404462
A1-2,0.2936538088364614,0.1876350655746971
TEO,0.22340814401457476,0.10755079068590712
A23c,0.42174063000278084,0.32752978749928086
AuRT,0.08335916444420877,0.04681459153671841
PEC,0.4951521261391475,0.29231793480515755
PGa-IPa,0.2722846967373742,0.055766093626110624
A45,0.43471243088452427,0.07134760994065592
V4,0.19810317664577826,0.19703859953728664
A3a,0.23076729206352997,0.15278498822356357
PE,0.22963254992364357,0.16366649027356106
A3b,0.3651608823894913,0.27734829236006553
A19M,0.19135147213885095,0.13106524887335746
MST,0.19330272109000146,0.1328533050021623
PF,0.3775001270875855,0.2672499145391666
S2E,0.34759815603711375,0.238532551799031
AuML,0.1038508201514895,0.03358925309292082
A9,0.26738694354465475,0.047844673280536765
MIP,0.3124909179177535,0.20799265241375364
TPO,0.2362868716467822,0.04883338212627841
OPt,0.10700422406848054,0.13570819788968758
LIP,0.2223859576278454,0.1600953650305087
A23b,0.40006955652370735,0.12006909088352247
A8aV,0.3480677439761155,0.07072714166934457
TE3,0.2640619590770126,0.031369000527887936
A4ab,0.20783457161413266,0.14791846205890646
A47L,0.3851246175348474,0.05160416043844385
PGM,0.32928169785379424,0.09145238318337245
AIP,0.41527639766376,0.26079381549000247
A10,0.17184639184845818,0.037010030297144
A46D,0.3783331614466575,0.13302402509222744
A11,0.3644906627262122,0.12989498264521304
A8b,0.28306143211234724,0.059105482092946526
A8C,0.39181203007003385,0.30416850776720394
PFG,0.2710118237959691,0.2409174853600552
A24d,0.4540607652017268,0.3675962456361338
PG,0.11231134811855803,0.11062536931176603
A23a,0.40081310891229616,0.11740705193909051
A32V,0.3862388504973825,0.13391733755372492
A6M,0.35045006006363766,0.24884980899510434
A4c,0.38465769719181186,0.30534108170308394
A8aD,0.3184888050527508,0.08175283867833238
A32,0.2900290003820699,0.05233412755142641
AuCPB,0.0823703774396457,0.02533320588757426
A6DC,0.3146792441037073,0.27430325049009596
A6DR,0.3955959428249808,0.2572211647227163
A6Va,0.304813107459017,0.2496333793209834
